"Age","Address","Family.size","Parent.s.cohabition.status","Mother.s.education","Guardian","Time.from.home.to.school","Weekly.study.time","Number.of.past.class.failures","Extra.educational.support","Family.educational.support","Extra.paid.class","Extra.curricular.activity","Attended.nursery.school","Aims.for.higher.education","Internet.access","In.romantic.relationship","Evaluation.for.family.relationship","Evaluation.for.free.time.after.school","Frequent.going.out.with.friends","Current.health.status","Number.of.school.absences","Average.result"
17,"U","GT3","T","3","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","5","4","3",2,13
18,"U","LE3","T","1","mother","1","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","4","3","3","3",7,7.66666666666667
19,"R","GT3","T","1","other","3","1","1","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","5",4,8
17,"R","GT3","T","4","mother","2","2","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","4","5","5","2",4,11.6666666666667
18,"U","GT3","T","3","father","1","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","5","3","4","5",0,9.33333333333333
17,"R","GT3","T","4","father","2","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","5",4,12.6666666666667
17,"U","LE3","A","3","mother","2","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","1","2","3","5",2,11.6666666666667
18,"U","LE3","T","1","father","2","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","3","3","2","3",4,10
18,"U","LE3","T","1","father","2","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","3","2","4",0,16.6666666666667
18,"R","LE3","A","1","mother","3","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","4","3","4","5",0,13
18,"R","LE3","T","1","mother","2","2","1","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","4","4","3","5",2,12.3333333333333
18,"U","GT3","T","3","mother","2","2","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","3","2","3",0,10.6666666666667
17,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","2","3","4","1",0,15.3333333333333
17,"R","GT3","T","1","father","2","2","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","3","2","2","3",0,11.6666666666667
18,"R","GT3","T","1","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","3","3","4","3",4,10
18,"U","LE3","T","4","mother","2","3","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","2","2","5",0,13
17,"R","GT3","T","1","mother","3","1","1","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","2","1","1",0,4.33333333333333
18,"U","GT3","T","2","father","2","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","5","2","3","4",0,10.3333333333333
18,"R","GT3","T","4","father","3","2","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","3","2","2","5",10,12.3333333333333
19,"U","LE3","T","3","other","2","2","2","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","3","2","2","3",4,7.66666666666667
18,"R","LE3","T","1","father","3","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","4","3","3","3",3,12.6666666666667
17,"U","GT3","T","2","mother","1","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","3","4","3","3",8,11.6666666666667
17,"R","GT3","T","1","mother","1","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","3","5","5","1",14,5.33333333333333
18,"R","LE3","T","4","mother","2","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","4","1",0,18.6666666666667
18,"R","GT3","T","1","mother","4","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","2","4",2,8.66666666666667
20,"U","GT3","T","4","other","2","3","2","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","5","4","3","3",4,14.6666666666667
18,"R","LE3","T","4","mother","1","2","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","3","2",4,9
18,"U","GT3","T","3","mother","1","2","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","4","1","3","1",0,15
17,"R","GT3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","4","5","4","1",17,10
18,"U","GT3","T","4","father","1","2","0","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","3","2","4","2",4,14.3333333333333
18,"R","GT3","T","2","mother","2","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","4","4","3","5",5,6.66666666666667
17,"U","GT3","T","2","father","2","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","4","3","3",2,10.6666666666667
19,"R","GT3","T","1","mother","2","1","1","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","4","3","2","5",0,3.66666666666667
18,"R","GT3","T","4","father","2","1","1","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","4","3","3",14,5.33333333333333
18,"R","GT3","T","2","mother","2","3","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","3","3","4",2,9.66666666666667
18,"R","GT3","T","4","mother","3","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","4","4","3","5",7,5.66666666666667
19,"R","GT3","T","2","mother","1","3","1","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","5","4","2","5",0,4
18,"U","LE3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","4","1",0,8
18,"U","GT3","T","1","mother","2","2","1","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","1","1","1","5",0,3.66666666666667
20,"U","LE3","A","2","other","1","2","2","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","5","5","4","4",11,9
17,"U","LE3","T","3","mother","2","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","2","4","5","2",3,15.3333333333333
21,"R","GT3","T","1","other","1","1","3","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","5","5","3","3",3,8.33333333333333
18,"R","LE3","T","3","mother","3","1","0","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","4","4","1","5",0,11
19,"U","LE3","T","1","father","1","1","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","3","2","3","5",5,8.66666666666667
